,alt_names,birth_date,key,name,top_subjects,top_work,type1,work_count,ratings_average,ratings_sortable,ratings_count,ratings_count1,ratings_count2,ratings_count3,ratings_count4,ratings_count5,want_to_read_count,already_read_count,currently_reading_count,readinglog_count,version
10,,,OL9269980A,George Arthur Plimpton,,Rara Arithmetica,author,3,,,,,,,,,,,,,1796101229895483396
11,,,OL12259428A,George (Editor) Plimpton,,The Paris Review,author,2,,,,,,,,,,,,,1795969741727203330
12,,,OL12220282A,George A Plimpton,,The education of Chaucer,author,2,,,,,,,,,,,,,1795969192812347404
13,,1855,OL5706981A,George Arthur Plimpton,Knowledge and learning/Incunabula/History/Geoffrey Chaucer (d. 1400)/England/Education,The education of Chaucer,author,2,,,,,,,,,,,,,1796049737739141131
14,,,OL13647352A,George A. (George Arthur) Plimpton,,Education of Shakespeare,author,2,,,,,,,,,,,,,1795991466749722625
15,,,OL12273625A,Peter Plimpton George and Ardery,,THE AMERICAN LITERARY ANTHOLOGY / 2 The second annual collection of the best from literary magazines,author,2,,,,,,,,,,,,,1795968496006332416
16,,,OL12495103A,George A. [Shakespeare William] Plimpton,,The Education of Shakespeare,author,2,,,,,,,,,,,,,1795973588301381638
17,,,OL2876755A,Lisa Kumar,Authors/Biography/Illustrators/Children's literature/Bibliography/Bio-bibliography/Television writers/Screenwriters/Poets/Obituaries,Something About the Author,author,122,,,,,,,,,,,,,1796009186425831433
18,,,OL12900095A,"Barrett, Nikki Lynn, Kumar, Lisa, Ames, Krista, Mackade, Viviana, Duffy, RM, Lindun, D'Ann",,The Rock Stars,author,2,,,,,,,,,,,,,1795978455460872201
19,George PLIMPTON/GEORGE PLIMPTON,1927,OL388011A,George Plimpton,Interviews/Authors/George Plimpton/Biography/United States/Fiction/Football players/Anecdotes/20th century/Authorship,Paper Lion,author,162,,,,,,,,,,,,,1804137685853405186
20,George Plimpton Adams/George Plimpton Adams./George P. (George Plimpton) 1 Adams,1909,OL114804A,"Adams, George Plimpton","Économie politique comparée/World War, 1914-1918/United States/Prices/Philosophy, Modern/Modern Philosophy/Metaphysics/Idealism/Georg Wilhelm Friedrich Hegel (1770-1831)/Economics",Idealism and the Modern Age,author,20,,,,,,,,,,,,,1804137753063981059
21,,,OL14044309A,George Plimpton,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807615465816588288
22,,,OL7823033A,"Pauline Plimpton, Evelyn Ames, Ezio Antonini, Sarah and George Plimpton Oakes Plimpton",,"Butler Ames and the Villa Balbianello, Lake Como, Italy",author,2,,,,,,,,,,,,,1796080669666836485
23,,1855,OL606596A,George A. Plimpton,History/George A. Plimpton (1855-1936)/Bibliography/United States/Textbooks/Manuscripts/Library/England/Education/Early works to 1800,The education of Shakespeare,author,43,,,,,,,,,,,,,1796053425138434052
24,,,OL4435200A,George A. Plimpton,,The Education of Shakespeare,author,4,,,,,,,,,,,,,1796030500661362691
25,,,OL9269980A,George Arthur Plimpton,,Rara Arithmetica,author,3,,,,,,,,,,,,,1796101229895483396
26,,,OL12259428A,George (Editor) Plimpton,,The Paris Review,author,2,,,,,,,,,,,,,1795969741727203330
27,,,OL12220282A,George A Plimpton,,The education of Chaucer,author,2,,,,,,,,,,,,,1795969192812347404
28,,1855,OL5706981A,George Arthur Plimpton,Knowledge and learning/Incunabula/History/Geoffrey Chaucer (d. 1400)/England/Education,The education of Chaucer,author,2,,,,,,,,,,,,,1796049737739141131
29,,,OL13647352A,George A. (George Arthur) Plimpton,,Education of Shakespeare,author,2,,,,,,,,,,,,,1795991466749722625
30,,,OL12273625A,Peter Plimpton George and Ardery,,THE AMERICAN LITERARY ANTHOLOGY / 2 The second annual collection of the best from literary magazines,author,2,,,,,,,,,,,,,1795968496006332416
31,,,OL12495103A,George A. [Shakespeare William] Plimpton,,The Education of Shakespeare,author,2,,,,,,,,,,,,,1795973588301381638
32,,,OL2876787A,Amy Elisabeth Fuller,Modern Literature/Bio-bibliography/Authors/Television writers/Screenwriters/Poets/Motion picture authorship/Journalists/Dramatists/21st century,Contemporary authors new revision series,author,74,,,,,,,,,,,,,1796009186427928585
33,,,OL2876755A,Lisa Kumar,Authors/Biography/Illustrators/Children's literature/Bibliography/Bio-bibliography/Television writers/Screenwriters/Poets/Obituaries,Something About the Author,author,122,,,,,,,,,,,,,1796009186425831433
34,,,OL12900095A,"Barrett, Nikki Lynn, Kumar, Lisa, Ames, Krista, Mackade, Viviana, Duffy, RM, Lindun, D'Ann",,The Rock Stars,author,2,,,,,,,,,,,,,1795978455460872201
35,George PLIMPTON/GEORGE PLIMPTON,1927,OL388011A,George Plimpton,Interviews/Authors/George Plimpton/Biography/United States/Fiction/Football players/Anecdotes/20th century/Authorship,Paper Lion,author,162,,,,,,,,,,,,,1804137685853405186
36,George Plimpton Adams/George Plimpton Adams./George P. (George Plimpton) 1 Adams,1909,OL114804A,"Adams, George Plimpton","Économie politique comparée/World War, 1914-1918/United States/Prices/Philosophy, Modern/Modern Philosophy/Metaphysics/Idealism/Georg Wilhelm Friedrich Hegel (1770-1831)/Economics",Idealism and the Modern Age,author,20,,,,,,,,,,,,,1804137753063981059
37,,,OL14044309A,George Plimpton,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807615465816588288
38,,,OL7823033A,"Pauline Plimpton, Evelyn Ames, Ezio Antonini, Sarah and George Plimpton Oakes Plimpton",,"Butler Ames and the Villa Balbianello, Lake Como, Italy",author,2,,,,,,,,,,,,,1796080669666836485
39,,1855,OL606596A,George A. Plimpton,History/George A. Plimpton (1855-1936)/Bibliography/United States/Textbooks/Manuscripts/Library/England/Education/Early works to 1800,The education of Shakespeare,author,43,,,,,,,,,,,,,1796053425138434052
40,,,OL4435200A,George A. Plimpton,,The Education of Shakespeare,author,4,,,,,,,,,,,,,1796030500661362691
41,,,OL9269980A,George Arthur Plimpton,,Rara Arithmetica,author,3,,,,,,,,,,,,,1796101229895483396
42,,,OL12259428A,George (Editor) Plimpton,,The Paris Review,author,2,,,,,,,,,,,,,1795969741727203330
43,,,OL12220282A,George A Plimpton,,The education of Chaucer,author,2,,,,,,,,,,,,,1795969192812347404
44,,1855,OL5706981A,George Arthur Plimpton,Knowledge and learning/Incunabula/History/Geoffrey Chaucer (d. 1400)/England/Education,The education of Chaucer,author,2,,,,,,,,,,,,,1796049737739141131
45,,,OL13647352A,George A. (George Arthur) Plimpton,,Education of Shakespeare,author,2,,,,,,,,,,,,,1795991466749722625
46,,,OL12273625A,Peter Plimpton George and Ardery,,THE AMERICAN LITERARY ANTHOLOGY / 2 The second annual collection of the best from literary magazines,author,2,,,,,,,,,,,,,1795968496006332416
47,,,OL12495103A,George A. [Shakespeare William] Plimpton,,The Education of Shakespeare,author,2,,,,,,,,,,,,,1795973588301381638
48,,,OL2876787A,Amy Elisabeth Fuller,Modern Literature/Bio-bibliography/Authors/Television writers/Screenwriters/Poets/Motion picture authorship/Journalists/Dramatists/21st century,Contemporary authors new revision series,author,74,,,,,,,,,,,,,1796009186427928585
49,,,OL2827949A,Scot Peacock,Modern Literature/Bio-bibliography/Authors/Poets/Journalists/Dramatists/Television writers/Screenwriters/Motion picture authorship/American Authors,Contemporary Authors,author,153,,,,,,,,,,,,,1796009117316284422
50,,,OL2876755A,Lisa Kumar,Authors/Biography/Illustrators/Children's literature/Bibliography/Bio-bibliography/Television writers/Screenwriters/Poets/Obituaries,Something About the Author,author,122,,,,,,,,,,,,,1796009186425831433
51,,,OL12900095A,"Barrett, Nikki Lynn, Kumar, Lisa, Ames, Krista, Mackade, Viviana, Duffy, RM, Lindun, D'Ann",,The Rock Stars,author,2,,,,,,,,,,,,,1795978455460872201
52,George PLIMPTON/GEORGE PLIMPTON,1927,OL388011A,George Plimpton,Interviews/Authors/George Plimpton/Biography/United States/Fiction/Football players/Anecdotes/20th century/Authorship,Paper Lion,author,162,,,,,,,,,,,,,1804137685853405186
53,George Plimpton Adams/George Plimpton Adams./George P. (George Plimpton) 1 Adams,1909,OL114804A,"Adams, George Plimpton","Économie politique comparée/World War, 1914-1918/United States/Prices/Philosophy, Modern/Modern Philosophy/Metaphysics/Idealism/Georg Wilhelm Friedrich Hegel (1770-1831)/Economics",Idealism and the Modern Age,author,20,,,,,,,,,,,,,1804137753063981059
54,,,OL14044309A,George Plimpton,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807615465816588288
55,,,OL7823033A,"Pauline Plimpton, Evelyn Ames, Ezio Antonini, Sarah and George Plimpton Oakes Plimpton",,"Butler Ames and the Villa Balbianello, Lake Como, Italy",author,2,,,,,,,,,,,,,1796080669666836485
56,,1855,OL606596A,George A. Plimpton,History/George A. Plimpton (1855-1936)/Bibliography/United States/Textbooks/Manuscripts/Library/England/Education/Early works to 1800,The education of Shakespeare,author,43,,,,,,,,,,,,,1796053425138434052
57,,,OL4435200A,George A. Plimpton,,The Education of Shakespeare,author,4,,,,,,,,,,,,,1796030500661362691
58,,,OL9269980A,George Arthur Plimpton,,Rara Arithmetica,author,3,,,,,,,,,,,,,1796101229895483396
59,,,OL12259428A,George (Editor) Plimpton,,The Paris Review,author,2,,,,,,,,,,,,,1795969741727203330
60,,,OL12220282A,George A Plimpton,,The education of Chaucer,author,2,,,,,,,,,,,,,1795969192812347404
61,,1855,OL5706981A,George Arthur Plimpton,Knowledge and learning/Incunabula/History/Geoffrey Chaucer (d. 1400)/England/Education,The education of Chaucer,author,2,,,,,,,,,,,,,1796049737739141131
62,,,OL13647352A,George A. (George Arthur) Plimpton,,Education of Shakespeare,author,2,,,,,,,,,,,,,1795991466749722625
63,,,OL12273625A,Peter Plimpton George and Ardery,,THE AMERICAN LITERARY ANTHOLOGY / 2 The second annual collection of the best from literary magazines,author,2,,,,,,,,,,,,,1795968496006332416
64,,,OL12495103A,George A. [Shakespeare William] Plimpton,,The Education of Shakespeare,author,2,,,,,,,,,,,,,1795973588301381638
65,,,OL2876787A,Amy Elisabeth Fuller,Modern Literature/Bio-bibliography/Authors/Television writers/Screenwriters/Poets/Motion picture authorship/Journalists/Dramatists/21st century,Contemporary authors new revision series,author,74,,,,,,,,,,,,,1796009186427928585
66,,,OL2827949A,Scot Peacock,Modern Literature/Bio-bibliography/Authors/Poets/Journalists/Dramatists/Television writers/Screenwriters/Motion picture authorship/American Authors,Contemporary Authors,author,153,,,,,,,,,,,,,1796009117316284422
67,,,OL2039062A,Suzanne Clauser,Authors/Yellow Springs (Ohio)/Television scripts/Fiction/Motion picture plays/about 1900-1910/Wyoming/United States/Sisters/History,A girl named Sooner,author,31,,,,,,,,,,,,,1795999414019424264
68,,,OL2876755A,Lisa Kumar,Authors/Biography/Illustrators/Children's literature/Bibliography/Bio-bibliography/Television writers/Screenwriters/Poets/Obituaries,Something About the Author,author,122,,,,,,,,,,,,,1796009186425831433
69,,,OL12900095A,"Barrett, Nikki Lynn, Kumar, Lisa, Ames, Krista, Mackade, Viviana, Duffy, RM, Lindun, D'Ann",,The Rock Stars,author,2,,,,,,,,,,,,,1795978455460872201
70,George PLIMPTON/GEORGE PLIMPTON,1927,OL388011A,George Plimpton,Interviews/Authors/George Plimpton/Biography/United States/Fiction/Football players/Anecdotes/20th century/Authorship,Paper Lion,author,162,,,,,,,,,,,,,1804137685853405186
71,George Plimpton Adams/George Plimpton Adams./George P. (George Plimpton) 1 Adams,1909,OL114804A,"Adams, George Plimpton","Économie politique comparée/World War, 1914-1918/United States/Prices/Philosophy, Modern/Modern Philosophy/Metaphysics/Idealism/Georg Wilhelm Friedrich Hegel (1770-1831)/Economics",Idealism and the Modern Age,author,20,,,,,,,,,,,,,1804137753063981059
72,,,OL14044309A,George Plimpton,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807615465816588288
73,,,OL7823033A,"Pauline Plimpton, Evelyn Ames, Ezio Antonini, Sarah and George Plimpton Oakes Plimpton",,"Butler Ames and the Villa Balbianello, Lake Como, Italy",author,2,,,,,,,,,,,,,1796080669666836485
74,,1855,OL606596A,George A. Plimpton,History/George A. Plimpton (1855-1936)/Bibliography/United States/Textbooks/Manuscripts/Library/England/Education/Early works to 1800,The education of Shakespeare,author,43,,,,,,,,,,,,,1796053425138434052
75,,,OL4435200A,George A. Plimpton,,The Education of Shakespeare,author,4,,,,,,,,,,,,,1796030500661362691
76,,,OL9269980A,George Arthur Plimpton,,Rara Arithmetica,author,3,,,,,,,,,,,,,1796101229895483396
77,,,OL12259428A,George (Editor) Plimpton,,The Paris Review,author,2,,,,,,,,,,,,,1795969741727203330
78,,,OL12220282A,George A Plimpton,,The education of Chaucer,author,2,,,,,,,,,,,,,1795969192812347404
79,,1855,OL5706981A,George Arthur Plimpton,Knowledge and learning/Incunabula/History/Geoffrey Chaucer (d. 1400)/England/Education,The education of Chaucer,author,2,,,,,,,,,,,,,1796049737739141131
80,,,OL13647352A,George A. (George Arthur) Plimpton,,Education of Shakespeare,author,2,,,,,,,,,,,,,1795991466749722625
81,,,OL12273625A,Peter Plimpton George and Ardery,,THE AMERICAN LITERARY ANTHOLOGY / 2 The second annual collection of the best from literary magazines,author,2,,,,,,,,,,,,,1795968496006332416
82,,,OL12495103A,George A. [Shakespeare William] Plimpton,,The Education of Shakespeare,author,2,,,,,,,,,,,,,1795973588301381638
83,,,OL2876787A,Amy Elisabeth Fuller,Modern Literature/Bio-bibliography/Authors/Television writers/Screenwriters/Poets/Motion picture authorship/Journalists/Dramatists/21st century,Contemporary authors new revision series,author,74,,,,,,,,,,,,,1796009186427928585
84,,,OL2827949A,Scot Peacock,Modern Literature/Bio-bibliography/Authors/Poets/Journalists/Dramatists/Television writers/Screenwriters/Motion picture authorship/American Authors,Contemporary Authors,author,153,,,,,,,,,,,,,1796009117316284422
85,,,OL2039062A,Suzanne Clauser,Authors/Yellow Springs (Ohio)/Television scripts/Fiction/Motion picture plays/about 1900-1910/Wyoming/United States/Sisters/History,A girl named Sooner,author,31,,,,,,,,,,,,,1795999414019424264
86,ANTHONY STEPHEN KING,1934,OL529440A,Anthony Stephen King,"Great Britain/Politics and government/Great Britain/Constitutional law/Constitutional history/Prime ministers/Political parties/Great Britain. Parliament. House of Commons/United States/Addresses, essays, lectures",The British Prime Minister,author,24,0.0,2.047372,0,0,0,0,0,0,1,0,0,1,1809985782734127104
87,"Stephen king/Stephen KING/King, Stephen Schriftsteller/Stephen, King/Richard Bachman ( LI CHA BA HE MAN ) . Stephen King ( SI DI FEN/STEPHEN KING/Stiven King/King Stephen/King, Stephen (1947- )/stephen king/King-Stephen/stephen-king/KING Stephen -/King, Stephen/stephen [writing as richard bachman] king/Stiven King (pod psevdonimom Richard Bakhman)/King Stiven./King Stiven/KING STEPHEN/Bachman, Richard (King, Stephen)/Stephen King,Stephen King/Stephen King,Richard Bachman,Stephen King/king stephen/King, Stephen; Bachman, Richard/Stephen Edwin King/King, Stephen, 1947-/King Stephen November 29, 2020/KING,STEPHEN/Стівен Кінг. Стивен Кинг. Stephen Edwin King/Richard Bachman; Stephen King/Stephen King:/Richard Bachman (Stephen King)/King. Stephen./Richard Bachman/كينغ، ستيفن،/King S./Stephen King ( Quote )/S King/Bachman, Richard/Bachman, Richard./Bachman Richard/King S/Srephen King/Jin/King.S./S.King/Sthephen KING/Beryl Evans/King, Stephen./Ke qing xin","September 21, 1947",OL19981A,Stephen King,"Fiction/Fiction, horror/Maine/Horror tales/horror/American Horror tales/fiction/Protected DAISY/Large type books/Horror fiction",Carrie,author,576,4.029636,4.0007887,3678,112,154,683,1293,1436,35507,6213,1968,43688,1812229551167635456
88,"King-Hall, Stephen Sir./Stephen King-Hall/Stephen.* King-Hall/King-Hall, Stephen, Sir, 1893-/Stephen King- Hall/King-Hall, Stephen Sir",21 January 1893,OL117505A,Sir Stephen King-Hall,"Great Britain/Foreign relations/World politics/World War, 1914-1918/Juvenile literature/20th century/Modern History/History/Description and travel/1945-","Our own times, 1913-1934: a political and economic survey",author,126,0.0,2.047372,0,0,0,0,0,0,4,0,1,5,1809986147882893312
89,,?,OL7829287A,Stephen King,"Business and economics/Fiction/FICTION / General/Competition/Catalogs/Canadian Art/Buildings, structures/Art, catalogs/Art, canadian/Art",Principles of Macroeconomics,author,16,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807554291999703040
90,Stephen King/Stephen Daryl King,1963,OL7420209A,Stephen D. King,"Geographic information systems/Coastal zone management/Wirtschaftsentwicklung/Western countries/Wealth/United states, politics and government, 21st century/United states, economic policy/United states, economic conditions, 21st century/United states, economic conditions/Stagnation (economics)",When the money runs out,author,17,,,,,,,,,,,,,1796074833568595972
91,,,OL7829295A,Stephen King,"Fiction, horror/Fiction, anthologies (multiple authors)/Economics",Chiral Mad 5,author,14,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807661287885242368
92,,,OL7623295A,Stephen King-Hall,,The Diary of a U-Boat Commander,author,31,,,,,,,,,,,,,1796076637001875468
93,Stephen Harris Morley King,1931,OL2031776A,Stephen King,New products/Brand name products/Marketing research/Marketing/Management/Branding (Marketing)/Advertising,Developing new brands,author,7,0.0,2.047372,0,0,0,0,0,0,2,0,0,2,1807888897500250112
94,,1962,OL369754A,Stephen King,Australia/Public utilities/Privatization/Organizational effectiveness/Infrastructure (Economics)/Industrial management/Government policy/Government business enterprises/Corporations/Corporate profits,How big business performs,author,4,,,,,,,,,,,,,1796021408248102919
95,,,OL7829294A,Stephen King,,Pet Sematary,author,2,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1809433902762164224
96,,?,OL7829290A,Stephen King,,Display screen equipment: a user's guide,author,1,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807888615582203904
97,,,OL9120270A,Stephen King,,How many nations?: a study of regional differences in spending,author,1,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807888592318496768
98,,,OL14074018A,Stephen King,,Of Gods and Grasshoppers,author,1,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807834511741812736
99,,?,OL7829293A,Stephen King,Thirsk Grammar and Modern School,Ten years all in: the story of a comprehensive school.,author,1,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1808441855459721216
100,,,OL7829296A,Stephen King,Social sciences,Living in society,author,1,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807454864577396737
101,,?,OL14028893A,Stephen King,,Finance on a Beermat,author,1,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807193139099729920
102,,,OL11448100A,STEPHEN KING-HALL,,OUR OWN TIMES 1913 - 1934 VOLUME II,author,2,,,,,,,,,,,,,1795957078017179648
103,,,OL11169076A,Stephen King Italia,,Quando a Derry Fa Buio,author,2,,,,,,,,,,,,,1795952800718389250
104,,,OL13288217A,Joshua Stephen King,,Line by line,author,2,,,,,,,,,,,,,1795984246264823814
105,,,OL13010803A,D. Stephen King,Social sciences/Psychology,Posttraumatic Abortion-Related Stress in Psychiatric Outpatients,author,2,,,,,,,,,,,,,1795981025750286347
106,,,OL11573963A,Anthony Stephen King,,British politics,author,2,,,,,,,,,,,,,1795958584111005713
107,,,OL5427061A,Nigel Stephen King,,Mild head injury and predicting the development of persistent post concussion symptoms and the investigation of a brief neuropsychological screening battery,author,2,,,,,,,,,,,,,1796045054007050243
108,,,OL3512484A,Rev. Stephen King,Study and teaching/Religious education/Pastoral psychology/Pastoral Care/History/Education/Clinical pastoral education (Movement)/Association for Clinical Pastoral Education,Trust the Process,author,2,,,,,,,,,,,,,1796019906981920778
109,,,OL14640895A,Stephen King- Hall,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1811691502662844418
110,,,OL10319729A,Stephen Stephen King-Hall,,Diary of a U-Boat Commander,author,2,,,,,,,,,,,,,1795938171500888070
111,,,OL9909717A,Scott Snyder Stephen King,,Amerikan Vampiri - Cilt 1,author,2,,,,,,,,,,,,,1796108795641856002
112,,,OL13677830A,Ulysses  Stephen King Jr.,,,author,0,,,,,,,,,,,,,1799153546378084352
113,,,OL14375578A,Sir Stephen King-Hall,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1810794170994917376
114,Stefan Lazarević Prince of Serbia/Stephen King of Serbia/Stefan Lazarević Despot of Serbia,ca. 1373,OL1576676A,Stefan Lazarević Prince of Serbia,Serbia/History/To 1456/Stephen King of Serbia (ca. 1370-1427)/Stefan Lazarević Prince of Serbia (ca. 1373-1427)/Sources/Mining law/Mines and mineral resources/Kings and rulers/Biography,Zakon o rudnicima despota Stefana Lazarevića,author,8,,,,,,,,,,,,,1795993265017716736
115,,,OL11474524A,Commander Sir Stephen King-Hall,,Defence in the Nuclear Age,author,2,,,,,,,,,,,,,1795956834726576132
116,,,OL12234420A,Stephen King-Hall Ian Hay,,The Middle Watch; A Romance of the Navy,author,2,,,,,,,,,,,,,1795967942398050304
117,,,OL14520886A,the outsiders by stephen king,,,author,0,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1811239420290924546
118,,,OL11414296A,R. K.; Stephen King-Hall Ullmann,,GERMAN PARLIAMENTS. A Study of the Development of Representative Institutions in Germany.,author,2,,,,,,,,,,,,,1795955445732474892
119,,,OL2846578A,Stephen B. King,Training of/Employees/Évaluation/Training/Rendement au travail/Personnel/Performance standards/Organizational Behavior/Normes/Management Science,Human Performance Improvement,author,25,,,,,,,,,,,,,1796008900893343750
120,,,OL3118826A,Stephen M. King,Ultrastructure/Cytology/Cilia and ciliary motion/Cilia/Cell Movement/Trilharen/Science/SCIENCE/Public administration/Proteins,Dyneins,author,35,,,,,,,,,,,,,1796014844172828683
121,,,OL232235A,Stephen Michael King,"Children's fiction/Child and youth fiction/Juvenile fiction/Fiction/Dogs, fiction/Picture books for children/Dogs/Fathers and sons/Swine/Self-confidence, fiction",The pocket dogs,author,155,,,,,,,,,,,,,1796003121733828608
122,,,OL3383126A,Stephen R. King,"Unassigned Title/Problems, exercises/Macroeconomics",Hall and Taylor's Macroeconomics,author,19,,,,,,,,,,,,,1796016213966454799
123,,,OL2722188A,Stephen Graham King,Patients/Cancer/Biography,Chasing Cold,author,16,,,,,,,,,,,,,1796007329594867719
124,,,OL3249813A,Stephen J. King,"Islam and politics/Democracy/Authoritarianism/Africa, north, politics and government/Wirtschaftsreform/Structural adjustment (economic policy)/Structural adjustment (Economic policy)/Politics and government/Political science/Political culture",Lure of Authoritarianism,author,16,,,,,,,,,,,,,1796014289030479885
125,,,OL8376154A,Sir William Stephen Richard King-Hall,,Diary of a U-Boat Commander Illustrated,author,17,,,,,,,,,,,,,1796088517036605444
126,,,OL3084360A,Stephen A. King,"Reggae music/Rastafari movement/Musical criticism/Music, social aspects/Music, jamaican/Music, history and criticism/Blues (music)",Terror and Truth,author,12,,,,,,,,,,,,,1796011296710197255
127,"Hastings-King, Stephen William/Hastings-King, Stephen (Stephen William)/Hastings-King, Stephen",,OL8073326A,Stephen Hastings-King,Social conditions/Régie nationale des usines Renault/Politics and government/Philosophy/Nature/Industrial sociology/History and criticism/History/Gardening/Employees,Looking for the Proletariat,author,6,0.0,2.047372,0,0,0,0,0,0,0,0,0,0,1807044104064860160
128,,,OL2966645A,Stephen P. King,TECHNOLOGY & ENGINEERING/Systems engineering/Structural health monitoring/Reference/Engineering (General),PTSD : Cleaning and Clearing Shock & Trauma,author,8,,,,,,,,,,,,,1796012206769307653
129,,1963,OL6774970A,Stephen D. King,"Economic policy/Western countries/Economic conditions/Developing countries/21st century/United states, economic conditions/Stabilité économique/Social policy/Politique économique/Political science",Economic Rationalism: Dead End or Way Forward?,author,8,,,,,,,,,,,,,1796064716991234049
130,,,OL1958536A,Stephen W. King,Vplivi/Social interaction/Social influence/Social aspects of Communication/Social aspects/Power (Social sciences)/Komuniciranje/Influence (Psychology)/Družbe/Communication,Communication and social influence,author,6,,,,,,,,,,,,,1795998333617045512
131,,,OL9242859A,Stephen B King,,"Glimpse, The Tender Killer",author,6,,,,,,,,,,,,,1796101056006979586
132,,,OL9331765A,Stephen H King,,Trial of Ice (Elf Queen of Kiirajanna),author,6,,,,,,,,,,,,,1796100706324709376
133,,,OL3126443A,Stephen H. King,Fiction/Biographical fiction/Air pilots,Trial of Fire,author,6,,,,,,,,,,,,,1796014416785833993
134,,,OL1497092A,Stephen Lynn King,"History/Soldiers/Kentucky/Genealogy/Confederate States of America/Civil War, 1861-1865/Warren County (Ky.)/Warren County/United States Civil War, 1861-1865/United States","Rich Pond Methodist Episcopal Church, South",author,6,,,,,,,,,,,,,1795991982358659077
135,,,OL4299205A,Stephen G. King,Training/Physiological aspects of Jumping/Physiological aspects/Mechanical properties/Jumping/Human mechanics/Dogs/Clicker training (Animal training)/Arm,The contribution of arm swing to vertical jumping height,author,5,,,,,,,,,,,,,1796028593556422658
136,,,OL9900114A,Stephen D. King,,We Need to Talk about Inflation,author,5,,,,,,,,,,,,,1796108575299338242
137,,975?,OL8966982A,Stephen I King of Hungary,Stephen I King of Hungary (975?-1038)/Sources/Hungary/Law/History/Emeric Saint (1007-1031)/11th century,Esortazioni al figlio ; Leggi e decreti,author,6,,,,,,,,,,,,,1796095260137357318
138,,,OL9474464A,Stephen W King,,Communication and social influence (Addison-Wesley series in human communication),author,4,,,,,,,,,,,,,1796102428760735756
139,,1964,OL7010917A,Stephen A. King,"Social aspects/History and criticism/History/Reggae music/Rastafari movement/Music, social aspects/Music, jamaican/Music, history and criticism/Music, american/Music and tourism","Reggae, Rastafari, and the rhetoric of social control",author,4,,,,,,,,,,,,,1796070664245870593
